position,Polar Summer Max Temp,lon,lat
0.594211,244.238293,43.738251,-89.694055
0.595211,244.233884,43.742522,-89.694078
0.596211,244.229307,43.746792,-89.694102
0.597211,244.224483,43.751064,-89.694126
0.598211,244.219426,43.755336,-89.69415
0.599211,244.214906,43.759609,-89.694174
0.600211,244.210008,43.763883,-89.694198
0.601211,244.20467,43.768157,-89.694221
0.602211,244.200308,43.772432,-89.694245
0.603211,244.195625,43.776707,-89.694269
0.604211,244.190901,43.780983,-89.694293
0.605211,244.186184,43.78526,-89.694317
0.606211,244.180871,43.789538,-89.69434
0.607211,244.176266,43.793816,-89.694364
0.608211,244.171383,43.798095,-89.694388
0.609211,244.167065,43.802374,-89.694412
0.610211,244.162278,43.806655,-89.694436
0.611211,244.157492,43.810935,-89.694459
0.612211,244.152315,43.815217,-89.694483
0.613211,244.147487,43.819499,-89.694507
0.614211,244.143133,43.823782,-89.694531
0.615211,244.137868,43.828066,-89.694555
0.616211,244.133262,43.83235,-89.694578
0.617211,244.128775,43.836635,-89.694602
0.618211,244.123984,43.84092,-89.694626
0.619211,244.119045,43.845206,-89.69465
0.620211,244.113903,43.849493,-89.694674
0.621211,244.109579,43.853781,-89.694697
0.622211,244.104831,43.858069,-89.694721
0.623211,244.099511,43.862358,-89.694745
0.624211,244.094908,43.866647,-89.694769
0.625211,244.090003,43.870938,-89.694792
0.626211,244.085325,43.875228,-89.694816
0.627211,244.080619,43.87952,-89.69484
0.628211,244.075407,43.883812,-89.694864
0.629211,244.071319,43.888105,-89.694888
0.630211,244.066533,43.892399,-89.694911
0.631211,244.061707,43.896693,-89.694935
0.632211,244.056704,43.900988,-89.694959
0.633211,244.051705,43.905283,-89.694983
0.634211,244.047345,43.90958,-89.695006
0.635211,244.042598,43.913876,-89.69503
0.636211,244.037812,43.918174,-89.695054
0.637211,244.032736,43.922472,-89.695078
0.638211,244.028014,43.926771,-89.695101
0.639211,244.023325,43.931071,-89.695125
0.640211,244.018092,43.935371,-89.695149
0.641211,244.013162,43.939672,-89.695173
0.642211,244.009046,43.943974,-89.695196
0.643211,244.00426,43.948276,-89.69522
0.644211,243.99947,43.952579,-89.695244
0.645211,243.994724,43.956882,-89.695268
0.646211,243.989938,43.961187,-89.695291
0.647211,243.985152,43.965492,-89.695315
0.648211,243.979977,43.969797,-89.695339
0.649211,243.974836,43.974103,-89.695363
0.650211,243.970441,43.97841,-89.695386
0.651211,243.96525,43.982718,-89.69541
0.652211,243.960736,43.987026,-89.695434
0.653211,243.956209,43.991335,-89.695457
0.654211,243.951599,43.995645,-89.695481
0.655211,243.946243,43.999955,-89.695505
0.656211,243.942026,44.004266,-89.695529
0.657211,243.936801,44.008578,-89.695552
0.658211,243.931973,44.01289,-89.695576
0.659211,243.92722,44.017203,-89.6956
0.660211,243.922911,44.021517,-89.695623
0.661211,243.918125,44.025831,-89.695647
0.662211,243.912537,44.030146,-89.695671
0.663211,243.908119,44.034462,-89.695695
0.664211,243.903766,44.038778,-89.695718
0.665211,243.898741,44.043095,-89.695742
0.666211,243.893573,44.047413,-89.695766
